iter	Passed	Remaining
400	20497	30618
401	20539	30554
402	20659	30604
403	20763	30631
404	20812	30576
405	20853	30509
406	20893	30441
407	20936	30377
408	20984	30323
409	21027	30259
410	21077	30205
411	21121	30143
412	21163	30080
413	21215	30029
414	21264	29974
415	21310	29916
416	21347	29845
417	21388	29779
418	21430	29715
419	21479	29661
420	21520	29597
421	21566	29539
422	21616	29486
423	21658	29422
424	21710	29372
425	21750	29306
426	21790	29240
427	21833	29179
428	21883	29127
429	21924	29062
430	21969	29003
431	22020	28952
432	22060	28887
433	22111	28836
434	22155	28777
435	22204	28722
436	22249	28665
437	22297	28610
438	22348	28559
439	22386	28491
440	22428	28429
441	22477	28376
442	22523	28319
443	22569	28263
444	22609	28198
445	22657	28144
446	22700	28084
447	22744	28023
448	22794	27972
449	22846	27923
450	22905	27882
451	22963	27840
452	23012	27788
453	23053	27725
454	23103	27672
455	23147	27615
456	23189	27553
457	23228	27489
458	23283	27442
459	23350	27411
460	23418	27381
461	23503	27369
462	23570	27337
463	23659	27330
464	23723	27294
465	23783	27254
466	23839	27208
467	23898	27166
468	23947	27113
469	24000	27064
470	24048	27010
471	24092	26951
472	24138	26894
473	24192	26846
474	24237	26788
475	24283	26731
476	24344	26692
477	24396	26642
478	24451	26595
479	24509	26551
480	24577	26519
481	24653	26495
482	24709	26448
483	24767	26405
484	24827	26362
485	24893	26327
486	24971	26304
487	25048	26280
488	25128	26258
489	25188	26216
490	25236	26161
491	25293	26115
492	25332	26052
493	25378	25995
494	25422	25936
495	25464	25875
496	25505	25813
497	25556	25761
498	25611	25714
499	25660	25660
500	25711	25608
501	25808	25603
502	25889	25581
503	26039	25625
504	26256	25736
505	26336	25711
506	26405	25676
507	26486	25651
508	26545	25606
509	26597	25554
510	26643	25496
511	26689	25438
512	26742	25387
513	26782	25323
514	26822	25259
515	26871	25204
516	26909	25139
517	26951	25078
518	26999	25022
519	27044	24964
520	27091	24907
521	27135	24848
522	27184	24793
523	27230	24735
524	27277	24679
525	27319	24618
526	27365	24561
527	27416	24508
528	27460	24450
529	27513	24398
530	27567	24348
531	27615	24293
532	27660	24235
533	27716	24187
534	27760	24128
535	27814	24078
536	27867	24027
537	27913	23970
538	27958	23912
539	27996	23848
540	28042	23792
541	28094	23740
542	28145	23687
543	28185	23626
544	28226	23565
545	28273	23509
546	28315	23449
547	28359	23391
548	28424	23350
549	28470	23294
550	28506	23229
551	28547	23168
552	28588	23108
553	28633	23051
554	28674	22991
555	28720	22935
556	28800	22906
557	28840	22844
558	28887	22789
559	28934	22734
560	28978	22676
561	29025	22621
562	29099	22586
563	29151	22535
564	29214	22492
565	29261	22437
566	29313	22385
567	29363	22332
568	29405	22273
